Style #,Item #,Item Description,Unit Price,MSRP,On-hand,WebDescription
FP4152/50,FP4152/50,14K Diamond Pendant 1/2 ctw,700,1749,13,This lovely pendant is made from 14K White Gold and features 33 round-cut diamonds weighing approximately 1/2 ct. tw.
FP4152/75,FP4152/75,14K Diamond Pendant 3/4 ctw,900,2249,6,This lovely pendant is made from 14K White Gold and features 39 round-cut diamonds weighing approximately 3/4 ct. tw.
FP4153/10,FP4153/10,14KW Diamond Pendant 1/10 ctw,140,278.6,88,"A classic round Diamond pendant crafted from 14K gold and set with 14 round-cut diamonds, weighing 1/10 ctw."
FP4153/100,FP4153/100,14KW Diamond Pendant 1 ctw,1250,2499,93,"A classic round Diamond pendant crafted from 14K gold and set with 15 round-cut diamonds, weighing 1 ctw."
FP4153/15,FP4153/15,14KW Diamond Pendant 1/7 ctw,165,328.9,26,"A classic round Diamond pendant crafted from 14K gold and set with 16 round-cut diamonds, weighing 1/7 ctw."
FP4153/25,FP4153/25,14KW Diamond Pendant 1/4 ctw,250,625,103,"A classic round Diamond pendant crafted from 14K gold and set with 17 round-cut diamonds, weighing 1/4 ctw."
FP4153/30,FP4153/30,14KW Diamond Pendant 1/3 ctw,350,879,80,"A classic round Diamond pendant crafted from 14K gold and set with 17 round-cut diamonds, weighing 1/3 ctw."
FP4153/50,FP4153/50,14KW Diamond Pendant 1/2 ctw,500,1249,38,"A classic round Diamond pendant crafted from 14K gold and set with 17 round-cut diamonds, weighing 1/2 ctw."
FP4153/70,FP4153/70,14KW Diamond Pendant 3/4 ctw,750,1899,127,"A classic round Diamond pendant crafted from 14K gold and set with 17 round-cut diamonds, weighing 3/4 ctw."
FP4153SE/100,FP4153SE/100,14KW Semi-Mount Diamond Pendant 1/2 ctw,250,499.8,25,"A classic round Diamond pendant crafted from 14K gold and set with 15 round-cut diamonds, weighing 1 ctw."
FP4153SE/50,FP4153SE/50,14KW Semi-Mount Diamond Pendant 1/2 ctw,150,299.7,50,"A classic round Diamond pendant crafted from 14K gold and set with 17 round-cut diamonds, weighing 1/2 ctw."
FP4155/25,FP4155/25,14K Diamond Pendant 1/4 ctw,450,900,7,"This elegant 14K White Gold diamond pendant is set with 10 round-cut diamonds, totaling 1/4 ctw."
FP4155/50,FP4155/50,14K Diamond Pendant 1/2 ctw,750,1500,1,"This elegant 14K White Gold diamond pendant is set with 10 round-cut diamonds, totaling 1/2 ctw."
FP4155/75,FP4155/75,14K Diamond Pendant 3/4 ctw,1000,2000,9,"This elegant 14K White Gold diamond pendant is set with 10 round-cut diamonds, totaling 3/4 ctw."
FP4161P,FP4161P,14K Ruby & Diamond Pendant,400,800,11,This 14K Diamond and Ruby pendant necklace is set with a single deep red ruby and 1/5 ctw in round cut diamonds.
FP4163,FP4163,14K Sapphire & Diamond Pendant,350,700,10,This 14K Diamond and Sapphire pendant necklace is set with a single deep blue sapphire and 1/5 ctw in round cut diamonds.
FP4166,FP4166,Silver Created Sapphire Pendant,60,149,8,This stunning Silver pendant is set with a Created Sapphire and a halo of CZ stones.
FP4167,FP4167,Silver Created Emerald Pendant,95,249,1,This stunning Silver pendant is set with a Created Emerald and a halo of CZ stones.
FP4168,FP4168,Silver Created Sapphire Pendant,95,249,2,This stunning Silver pendant is set with a Created Sapphire and a halo of CZ stones.
FP4169,FP4169,Silver Created Ruby Pendant,60,149,1,This stunning Silver pendant is set with a Created Ruby and a halo of CZ stones.
FP4170,FP4170,Silver Created Emerald Pendant,95,249,2,This stunning Silver pendant is set with a Created Emerald and a halo of CZ stones.
FP4171,FP4171,Silver Created Ruby Pendant,95,249,2,This stunning Silver pendant is set with a Created Ruby and a halo of CZ stones.
FPPS10.5,FPPS10.5,Silver Fresh Water Pink Pearl Studs 10.5 mm,15,30,17,These elegant Silver Pearl studs are set with 2 Freshwater Pearls. Pearl diameter is 10.5 mm.
FPPS4.5,FPPS4.5,Silver Fresh Water Pink Pearl Studs 4.5 mm,4,8,8,These elegant Silver Pearl studs are set with 2 Freshwater Pearls. Pearl diameter is 4.5 mm.
FPPS5.5,FPPS5.5,Silver Fresh Water Pink Pearl Studs 5.5 mm,4.5,9,33,These elegant Silver Pearl studs are set with 2 Freshwater Pearls. Pearl diameter is 5.5 mm.
FPPS6.0,FPPS6.0,Silver Fresh Water Pink Pearl Studs 6 mm,5,10,73,These elegant Silver Pearl studs are set with 2 Freshwater Pearls. Pearl diameter is 6 mm.
FPPS7.0,FPPS7.0,Silver Fresh Water Pink Pearl Studs 7 mm,5.5,11,39,These elegant Silver Pearl studs are set with 2 Freshwater Pearls. Pearl diameter is 7 mm.
FPPS8.0,FPPS8.0,Silver Fresh Water Pink Pearl Studs 8 mm,7,14,51,These elegant Silver Pearl studs are set with 2 Freshwater Pearls. Pearl diameter is 8 mm.
FPPS8.5,FPPS8.5,Silver Fresh Water Pink Pearl Studs 8.5 mm,8,16,90,These elegant Silver Pearl studs are set with 2 Freshwater Pearls. Pearl diameter is 8.5 mm.
